"iban","bank_country","bban","company","credit_card_expire","credit_card_number","credit_card_security_code","date_of_birth","address","state","job","name","phone_number"
"GB56YWWH5850488618436","GB","OFLW7608350159455","Calvo-Ibañez","05/23","4392189480103661","785","1938-03-01","Paseo Andrea Ramis 72 Piso 9 
Soria, 60152","Ciudad","Academic librarian","Alex Valentín Guijarro","+34 816 26 02 76"
"GB35HFHR6880763547080","GB","MURU1832898802554","Lucena-Escribano","05/20","344607702378586","275","1985-05-23","Avenida Paula Gomez 132 Apt. 88 
Sevilla, 78974","Guadalajara","Teaching laboratory technician","Jose Maria Madrid-Jordán","+34977 646 122"
"GB57SOBE7837056004424","GB","KPAX3754843984965","Martorell-Losada","08/22","4742656581652","935","1968-11-04","Via de Remedios Lladó 14
Burgos, 88048","Asturias","Control and instrumentation engineer","Magdalena Rivero-Ramírez","+34 610726401"
"GB07PXZS5776900305654","GB","AMNE5479129528972","Madrigal, Sacristán and Cuervo","05/27","6554118143427554","501","1948-01-31","Camino Hector Torrijos 76 Piso 0 
Palencia, 74335","La Coruña","Insurance broker","Josefa Gonzalo Barba","+34705 30 00 83"
"GB37UPPX0688656613813","GB","XXOX5450932580087","Morell and Sons","11/22","2221243081899325","979","2005-08-11","Ronda de Pablo Morante 2
León, 69561","Melilla","Therapeutic radiographer","Jose Cepeda Bustos","+34684 751 974"
"GB42LWER4733350006329","GB","FCXS4385902381330","Viana-Solsona","04/27","588084430101","348","1933-12-14","Plaza de Isabel Sotelo 85
Castellón, 78962","Granada","Production assistant, radio","Ines Llabrés-Carbonell","+34 343389117"
"GB83TQLD5733432500730","GB","XPZO9681919626952","Montoya and Sons","05/23","213132062032929","657","1990-05-27","Rambla Eva Ayuso 76 Apt. 73 
Cádiz, 16592","Guadalajara","Site engineer","Jose Angel Llopis Cuervo","+34 703 183 746"
"GB65YYUN1877125645129","GB","CEAF5468211106606","Calatayud LLC","11/20","3507943511825906","7067","1979-05-01","Callejón de Josep Lluch 9
Castellón, 89135","Santa Cruz de Tenerife","Arboriculturist","Jose Manuel Quirós Roselló","+34 321 304 397"
"GB19XGYV4482121862670","GB","IUIG3507436926283","Lobato and Sons","09/19","3567095186746219","176","1994-01-08","Callejón Carla Villaverde 32 Apt. 14 
Álava, 31655","Almería","Heritage manager","Alberto Carbó Otero","+34810590158"
"GB65LMHB0760813794886","GB","BITH0671844637684","Manzano Ltd","03/27","340932757863256","568","1925-04-05","Pasadizo de Juan Barragán 34
Albacete, 95208","Palencia","Nurse, children's","Lorenzo Victor Manuel Viña Guijarro","+34 828 119 406"
"GB56IHSN5449602072368","GB","QPCS5857046680305","Gárate and Sons","06/20","4063941816293758","998","1931-08-07","Camino Emilia Fiol 66
Palencia, 19122","León","Youth worker","Francisca Pinilla Cortés","+34729 831 453"
"GB60JTGB1504417543505","GB","EAYY7903485544611","Vicente LLC","02/27","2224098881165856","452","1932-01-06","Alameda de Mar Pazos 584 Puerta 7 
Baleares, 06264","Girona","Science writer","Ana Sureda Criado","+34 492329639"
"GB82BAZY8846399801614","GB","YGZB2198401514863","Cortina Ltd","01/26","4688685046523345","573","1930-05-21","Acceso de Nuria Múñiz 4 Apt. 81 
Girona, 08420","Valencia","Meteorologist","Jose Miguel Madrid Oller","+34 376053844"
"GB39YUIH2097598587619","GB","PUFY2761052089487","Gómez-Galindo","07/27","630448965321","342","1969-12-30","C. de Joaquin Raya 56 Piso 8 
Albacete, 97554","Albacete","Politician's assistant","Natalia Céspedes Roura","+34341781480"
"GB19JXJN4285165244663","GB","NZWS0602296720581","Mendez LLC","03/24","180099264276902","734","1934-08-31","Avenida de Victor Manuel Daza 17 Piso 2 
Barcelona, 88867","Zaragoza","Fast food restaurant manager","Milagros Roca Soto","+34237 695 188"
"GB87BXNE4001652255072","GB","ITHE9209239726345","Ramirez-Olmedo","12/21","6567784289696479","490","1903-05-13","Cañada de Nuria Agustín 19 Piso 3 
Ceuta, 86555","Castellón","Armed forces logistics/support/administrative officer","Daniela Iborra Cervera","+34651484472"
"GB21GWGD9919163579821","GB","XHBU5939057472078","Vendrell Group","04/24","4647894691090","045","1946-08-26","Pasadizo de Sandra Somoza 15
Melilla, 04923","Córdoba","Psychologist, counselling","Mohamed Andrade Cantón","+34607 938 237"
"GB55QAVS9209091703708","GB","IONY6800594506265","Blasco, Roig and Villalobos","05/20","370971902641855","1473","2001-04-30","Callejón Ruben Casado 69
Pontevedra, 80080","Alicante","Investment analyst","Tomás Blázquez Guzman","+34113 22 42 91"
"GB78QGFZ2520157117047","GB","KGJU4964617296152","Pablo, Falcó and Guardiola","10/22","5468089590912322","910","1990-10-07","Avenida Ismael Buendía 8
Toledo, 62702","Lleida","Product designer","Alberto del Huguet","+34859 16 98 58"
"GB50VAPN8946946795160","GB","WHKI5511799920669","Vera, Sanmiguel and Soler","09/20","6536769921576567","065","1947-12-11","Cañada Carla Catalá 66
Álava, 18783","Murcia","Commercial horticulturist","Agustín Cuervo Figueras","+34709 959 873"
"GB72RTRB3952072886908","GB","ENUZ1484820445311","Santos-Linares","08/26","2223214299169106","768","1934-04-27","Pasadizo Ignacio Tamayo 911 Piso 6 
Guadalajara, 59187","Lugo","Surveyor, hydrographic","Jorge Durán","+34 039 830 295"
"GB10QKUT6032809932965","GB","KXUE8041488374838","Castellanos, Duran and Juárez","02/24","4068837076200","494","1939-11-20","Cañada de Jose Miguel Cañete 254
Salamanca, 52012","La Rioja","Engineer, building services","Claudia Garriga Criado","+34 558 53 41 77"
"GB62MDQI2930596527596","GB","NECI2147199889921","Tapia, Martínez and Naranjo","09/28","2224110638086887","4116","2009-08-15","Calle de Raul Tena 79 Piso 9 
Vizcaya, 76484","Navarra","Outdoor activities/education manager","Sofia Macias Salas","+34 947074081"
"GB27NZTY7325366249918","GB","KDQD7750929339148","Pastor-Carrasco","02/21","341570578493041","475","1913-10-08","Rambla de Alba Rincón 4
Soria, 32475","Zaragoza","Optometrist","Albert Polo","+34 711 919 804"
"GB55LEBX2558765675334","GB","MOKE6459549438828","Font, Alemán and Campos","02/28","5294039483666857","088","1975-11-07","Alameda Julia Álamo 79 Piso 1 
Valencia, 88153","Baleares","Site engineer","Elisa Zamora Ribera","+34594 024 291"
"GB88NYUB2603766766827","GB","UJGH9890472195199","Arellano and Sons","05/23","4203953899170234","628","1974-09-13","Acceso Inmaculada Armas 853 Puerta 5 
Ourense, 24246","Segovia","Retail banker","Ismael Machado Montenegro","+34686907556"
"GB82NJTS1215086039872","GB","DXYX5228302760288","Verdú Group","09/25","4869754741173330292","349","1914-03-15","Via Remedios Guijarro 89 Piso 6 
Álava, 04654","Valladolid","Professor Emeritus","Anna Mireia Villaverde Méndez","+34471 948 174"
"GB41PTOO9454632082009","GB","JMRE1728211302990","Chacón PLC","07/28","370456670783667","006","1944-05-17","Avenida de Gema Avilés 6 Puerta 6 
Salamanca, 14879","Castellón","English as a second language teacher","Patricia Rocamora Guzman","+34216 079 652"
"GB33GSSW8568973052521","GB","USXF5264365612407","Acosta, Azcona and Cal","11/20","4965843913655476","358","1907-08-30","Acceso Iker Flores 32 Piso 0 
Lleida, 34046","Valencia","Higher education careers adviser","Julio Pereira Bayo","+34 315216903"
"GB87NWGZ7790747351077","GB","GGLP3353664026892","Sobrino Inc","11/23","6530179950350098","985","1908-01-24","Urbanización de Emilia Gomez 2
Palencia, 84977","Almería","Medical secretary","Alfonso Carbó","+34916903156"
"GB09UDRS8851719737289","GB","PKTW0573487577518","Menéndez, Ayllón and Barriga","02/27","3576156932538414","609","1951-08-18","Cuesta de Mercedes Ibañez 3
León, 01877","Guipúzcoa","Lobbyist","Ángeles Alarcón Ojeda","+34898 038 384"
"GB78YPOE6499527247071","GB","AKGM7929182271673","Blanch-Benavente","02/20","4468854709371303","009","1994-12-21","Rambla Gema Pablo 49
Burgos, 23256","Girona","Sports administrator","Susana Español","+34 692 689 823"
"GB95YQLK5435979436808","GB","TPYC3763485335709","Lerma Group","12/23","30370424037860","472","1905-03-23","Via Lorena Baeza 6 Piso 7 
La Rioja, 50994","Castellón","Cartographer","Remedios Lladó","+34834878986"
"GB39QYMY1303208981363","GB","VPFC5963939308258","Fuertes LLC","05/22","4150057522940287","360","1948-09-14","Camino Belen Fuertes 9
Melilla, 25896","Baleares","General practice doctor","Diego Coca Contreras","+34374 961 557"
"GB72ZQCQ2323910823775","GB","WCML9760219219253","Pedro-Durán","06/21","3504393548018120","310","1990-09-02","Via Jaime Riera 3
Huesca, 01179","Granada","Psychologist, occupational","Marc Menendez","+34155 48 96 15"
"GB76VBLK7875588561017","GB","HZUI5012189145163","Esparza-Leon","09/27","5246239652292837","6439","1966-06-04","Rambla de Cristina Alfonso 69 Piso 4 
Lleida, 11365","Castellón","Medical physicist","Yolanda Franco Palacio","+34309925905"
"GB84PYIJ0873603708383","GB","ZFGL9567206575975","Valera, Roselló and Cervantes","03/26","3571174720772520","238","1990-01-28","Urbanización Joaquin Cabanillas 623
Ourense, 24475","Teruel","Acupuncturist","Victoria Cifuentes Cáceres","+34815 53 58 36"
"GB85BPYZ7177061126006","GB","SQEU3787751253061","Nieto, Arjona and Arellano","04/23","6011790475454492","323","2005-04-11","Pasaje Alfonso Novoa 63
Málaga, 30661","Ciudad","Nurse, adult","Pedro Vergara Suarez","+34 842 42 39 83"
"GB87YBUN4771037801011","GB","TZKU2140801043965","Pombo-Redondo","09/26","180092942804609","5897","1906-04-25","Paseo de Jose Antonio Portero 38 Puerta 8 
Málaga, 01724","Zamora","Colour technologist","Elena Salas Cerdá","+34359 57 26 06"
"GB34BZYR2691866008939","GB","VJUH7353453281679","Bertrán-Araujo","09/28","377678749722417","133","1998-03-10","Ronda de Vicente Calderón 8
Girona, 55925","Valencia","Local government officer","Luis Miguel Alfaro Yáñez","+34928258818"
"GB11KNKV9849520535706","GB","AESW0682278998153","Tomé and Sons","11/26","4397420523768556796","749","1967-10-23","Rambla de Concepción Burgos 81
Segovia, 44133","Jaén","Radiographer, therapeutic","Adrián Raya Navas","+34454764443"
"GB82OVKF5030914941353","GB","NPPR2074719472923","Mesa-Milla","11/24","3557238487735851","284","1928-04-27","Camino Josefa Cánovas 1
Badajoz, 76277","Badajoz","Bonds trader","Andrés Victor Pou Borja","+34 388582736"
"GB22HNAL8738367759163","GB","BUJX7722965988665","Elorza LLC","05/20","4492548170674407","254","1948-04-25","Avenida de Alex Ibáñez 5
Ávila, 75514","Pontevedra","Scientist, biomedical","Jose Francisco Carbó","+34486 470 295"
"GB52IKMO6504885665390","GB","MVGW8342776889731","Zamora-Saura","09/24","6560932863371764","688","2011-06-26","Plaza de Elisa Salcedo 81 Piso 7 
Cuenca, 65347","Zaragoza","Museum education officer","Pedro Arregui Corral","+34 772573936"
"GB58YEXZ0527784616965","GB","PQSG6826384833026","Nuñez-Márquez","10/27","4165385899602781","020","2017-01-04","Pasadizo Alejandra Barco 80
Huelva, 78049","La Rioja","Agricultural consultant","Joaquin de Arenas","+34818 672 726"
"GB15GTRL2931571584165","GB","FEHA9661955137469","Peral-Segovia","06/19","30102577991027","279","1954-09-21","C. Alba Quesada 79
Vizcaya, 13817","La Rioja","Chief Technology Officer","Sara Vilaplana","+34268 085 568"
"GB44FZEB0410373991544","GB","LGIX5352414047666","Palmer Group","09/25","4624514226158322365","085","1932-04-21","Ronda de Milagros Aguiló 2 Apt. 41 
Valencia, 59622","Álava","Therapist, sports","Francisco Marcos Martorell Ruiz","+34364 98 51 23"
"GB14NXVD9193973766520","GB","LTEH2166170972592","Borja-Pozuelo","04/23","4864302876573053","140","1906-06-17","Rambla de Alba Hervia 877 Piso 6 
Soria, 81754","Albacete","Prison officer","Rafael Cobos Neira","+34484 257 477"
"GB76YEMI8950703240949","GB","XACS9519915661676","Gascón-Bernal","07/26","3586956634284029","646","1913-04-26","Pasadizo Elena Meléndez 7
Granada, 79799","La Rioja","Dietitian","Santiago Rico Mulet","+34508 42 74 94"
"GB28BKRA5728583853724","GB","OCYY3569790924593","Huerta, Canales and Pera","11/19","4941918539383762001","261","2015-06-09","Paseo David Oliveras 75
Barcelona, 47713","Granada","Recycling officer","Marina Torre-Alarcón","+34521 59 57 49"
"GB91ILRG7550234027116","GB","IDXI3937798484686","Cid-Zaragoza","11/27","675977099554","060","1989-09-18","Paseo de Jose Francisco Herrero 52 Apt. 54 
Valladolid, 83063","Almería","Education officer, museum","Nieves Guardiola Alegria","+34784788628"
"GB43CTUN0484970165751","GB","DGAR6991199966482","Merino Ltd","01/20","4341424921636243932","948","1929-05-26","C. de Luís Figueras 77 Apt. 74 
Soria, 68285","Burgos","Clinical research associate","Carmen Pinilla","+34410114292"
"GB78DPXR2497847231763","GB","OSUS9181123829216","Ferrer-Castro","08/19","503810602550","336","1989-11-23","Urbanización de Montserrat Arana 88
Huesca, 54010","Zamora","Heritage manager","Gema de Grande","+34 007 40 56 06"
"GB07TWXH5955687283331","GB","AKBF1556951494612","Sans Group","04/26","4814211968508","191","1971-03-11","Pasadizo Alberto Ribera 238 Puerta 1 
Segovia, 33702","Baleares","Physiological scientist","Mercedes Abascal Tejada","+34 997 822 979"
"GB90UKSX3831791731618","GB","SIBO4208783762004","Chaves, Tello and Nogueira","02/20","676353179754","322","1964-06-17","Paseo de Lidia Marín 57
Zamora, 94266","Valladolid","Quantity surveyor","Montserrat Angulo Gisbert","+34 172674978"
"GB31JDMA6987455644731","GB","MFDX3388881830441","Berrocal, Raya and Juliá","12/22","4708627960599006","464","1921-04-22","C. de Vanesa Pablo 7
Salamanca, 42104","Murcia","Games developer","Juan Manuel Enríquez Valdés","+34251583375"
"GB71XGWN8067915129729","GB","NCCD9084923497188","Hervia-Gomez","06/19","502088128272","337","1945-02-13","Pasaje Juan Rodrigo 43
La Coruña, 90572","Granada","Historic buildings inspector/conservation officer","Carolina Uriarte Taboada","+34762 803 646"
"GB21ZFVS2217749515181","GB","YTJT0061873138052","Gaya PLC","01/29","340950763588246","935","1910-08-02","Vial de Luis Miguel Corral 222
Almería, 98163","Ceuta","Broadcast presenter","Juan José Alcaraz-Bermejo","+34124 90 44 52"
"GB19RITK6171169395800","GB","TVRP8434640880760","Suárez, Linares and Campillo","01/29","180005033486664","287","1934-02-10","Pasaje Francisca Ordóñez 22 Piso 7 
Burgos, 17624","Madrid","Engineer, communications","Isabel Marqués Solís","+34 430293199"
"GB10BNBU0712441964227","GB","IFZX2373635320010","Garcia and Sons","10/21","30180643314820","497","2001-06-04","Callejón de Jesús Azcona 74
Las Palmas, 78799","Teruel","Surveyor, land/geomatics","Noelia Abascal-Pagès","+34449443203"
"GB61QHXX1163071656009","GB","IXHV0605648987818","Diego, Blanes and Morillo","10/25","639097335611","9121","1912-03-14","Vial de Jaime Vergara 3 Piso 4 
Valladolid, 18792","Tarragona","Clinical biochemist","Nerea Chaves Buendía","+34 407 970 534"
"GB14WKLY0084889770995","GB","IFTV5536322671194","Conesa, Carlos and Asensio","07/24","3560276364254914","981","1991-08-01","Ronda Tomás Boada 67
Cantabria, 37540","Albacete","Quality manager","Mireia Sureda Bárcena","+34795 90 44 08"
"GB09SWES3699460561029","GB","JQBD5930619153624","Perelló, Palmer and Salgado","02/24","4811304234426","059","1992-02-27","Via de Miguel Olmo 863 Apt. 09 
Lleida, 04498","Salamanca","Structural engineer","Gloria del Pedrosa","+34420 20 88 70"
"GB30SGZK6178612913394","GB","GQVQ6554699046618","Ros-Armas","05/23","2224400179756612","323","1957-08-27","Rambla Fernando Olivares 18 Piso 2 
Lleida, 10530","Sevilla","Chief Financial Officer","Gema Mateos Bellido","+34 726337817"
"GB76OEXF3624196618675","GB","GRTO0854925422844","Codina-Sevilla","08/26","4782564917340235","675","2004-09-03","Rambla de Nuria Mas 36
Melilla, 91059","Valencia","Surveyor, quantity","Felipe Sales Cases","+34 394733912"
"GB84OBDB6439165024406","GB","GRYU3710696952047","Ballesteros, Rocamora and Benítez","06/24","3547389750251671","2725","1948-08-04","Calle Catalina Izaguirre 98
Palencia, 47877","Castellón","Dancer","Sonia Susana Ugarte Novoa","+34 825 83 37 78"
"GB13EPUA3530116410757","GB","MAAK3555267070572","Higueras Group","08/21","4102040424187993203","1132","1988-06-09","Rambla Jose Angel Azcona 484
Baleares, 46101","Albacete","Energy engineer","Ramon Pedro Baena","+34239852937"
"GB23XWSY4097673812095","GB","DONV8182531716050","Esteban Inc","11/22","213102711622461","270","1951-08-05","Paseo Susana Cámara 9
Navarra, 23913","Sevilla","Administrator, charities/voluntary organisations","Patricia Herranz Armengol","+34 337 75 09 18"
"GB42PTUC1511997041408","GB","YTYB4354523207279","Guzmán-Valdés","11/22","343251379474682","311","1956-07-25","Via Silvia Fonseca 27 Apt. 41 
Segovia, 36808","Huelva","Field seismologist","Raquel Chacón Redondo","+34139 52 65 04"
"GB95GSJE0527218921457","GB","QNNK4432856581284","Garay, Vilanova and Reina","02/23","4072942907784816631","339","1957-05-20","Rambla de Patricia Prat 597
Ourense, 81204","Palencia","Oncologist","Beatriz del Pérez","+34 257 30 06 77"
"GB65VHXT8349925454587","GB","ECQG8973911318009","Canales, Escamilla and Ávila","09/22","348352509360786","609","1983-12-20","Pasaje de Juan Antonio Noriega 25 Piso 0 
Cuenca, 02241","Madrid","Consulting civil engineer","Montserrat Botella-Vigil","+34242412139"
"GB20EXBV6148236898578","GB","DOXF3658038612439","Perelló LLC","05/26","6011058714034685","488","1920-01-10","Pasaje de Teresa Ojeda 44
Almería, 54881","Castellón","Video editor","Manuel Guijarro Rosales","+34 334 17 95 68"
"GB19JTAA5757317429398","GB","JZYH9098575698683","Rodriguez-Ramirez","04/27","4764825432932562","426","1943-02-13","Vial Encarnacion Francisco 733
Lleida, 97332","Ourense","Phytotherapist","Inmaculada Arregui Fábregas","+34738500812"
"GB77WQGV4939855263632","GB","GNNN9385634843922","Barreda-Cabeza","02/27","4742796821894189059","1254","1938-08-02","Urbanización Fátima Palacio 61 Apt. 03 
Soria, 41481","León","Broadcast presenter","Rodrigo del Alberdi","+34 180 559 036"
"GB12BVYO3974828395094","GB","KIWL9743702462572","Rey, Saez and Niño","09/22","213154159841053","635","1963-01-14","Avenida Jesús Fabra 80
Albacete, 19238","Guadalajara","Water quality scientist","Eva Mora-Uribe","+34 450 12 53 63"
"GB17MFTG5385642021175","GB","QKNA2985345806293","Aguilar, Parra and Barrena","04/26","4999581592635910","693","1909-04-05","Via de Jesús Garcés 15 Puerta 0 
Lugo, 29043","Pontevedra","Occupational psychologist","Raul Juan José Cabañas Balaguer","+34 919999222"
"GB81QQNP6791483041151","GB","TBDX0033351579795","Santana-Benet","12/19","4997799906964194654","087","2013-12-29","Calle Noelia Santiago 14 Piso 9 
Soria, 61720","León","Dramatherapist","Guillermo Gabaldón Serrano","+34 838 421 186"
"GB58OYAH1477646535174","GB","KSIW0728864485134","Higueras-Caro","12/27","372795206048055","800","1954-11-27","Cañada de Alex Núñez 953 Puerta 1 
Melilla, 21716","Valladolid","Clinical research associate","Jose Francisco Tomas-Gálvez","+34404 667 145"
"GB59BNUE1857184555155","GB","HWWQ8946479895183","Andrade Group","05/20","180099052275868","838","1932-09-25","Calle Mireia Maza 49 Puerta 6 
Las Palmas, 31946","Sevilla","Editor, commissioning","Raquel Hervia-Pou","+34209 478 283"
"GB20FADV4397080074183","GB","ZJTS6464636819636","Cuervo Ltd","01/25","676393925919","780","1959-01-12","Paseo Trinidad Arellano 561
La Coruña, 71807","Baleares","Volunteer coordinator","Jose Miguel Catalán Galiano","+34479750851"
"GB52PGNV7907316175482","GB","XPCT5517725641547","Portillo, Viñas and Vallejo","06/23","4023530431926102199","8799","1983-08-01","Pasaje de Fernando Requena 48 Puerta 5 
Baleares, 18532","Lugo","Engineer, civil (consulting)","Eduardo Jose Ramon Caballero Ballesteros","+34877 991 727"
"GB15PBOU3165474450834","GB","JJUJ7254072518988","Manuel, Mata and Mateu","02/20","36290200400930","8062","1982-12-16","Callejón de Felipe Samper 18
Ciudad, 99082","Las Palmas","Dramatherapist","Jose Angel Aroca Lledó","+34116 95 10 45"
"GB91WXVR9455454354231","GB","ZNFA0911919751690","Dávila Ltd","05/27","3554465695369560","934","1968-12-02","Camino de Angela Baquero 96 Puerta 9 
Cuenca, 60732","Ávila","Administrator, education","Begoña Gonzalez-Lucas","+34 379671635"
"GB84RJHH1624430833728","GB","XSHB8549573518019","Flores, Merino and Aroca","03/20","4362225354133","281","1911-02-24","Alameda Ivan Collado 637 Apt. 03 
Valencia, 33729","Zamora","Pilot, airline","Esther Escudero Duque","+34141 436 867"
"GB30EJMO2333023700418","GB","CUOF4365567784015","Sánchez and Sons","10/21","4247228187847225","267","1909-11-01","Ronda Jorge Pavón 665 Puerta 0 
Huelva, 85603","Badajoz","Mechanical engineer","Felix del Rebollo","+34044107176"
"GB33QLYY5253506473098","GB","KEAA1636843030166","Zabaleta Ltd","11/24","30435029161280","518","1945-07-03","Calle de Silvia Beltran 277
Álava, 82099","Barcelona","Human resources officer","Ricardo Catalá","+34 991 348 392"
"GB72TWPK9833832383680","GB","GKTL8224678078189","Benavides LLC","01/25","4264680617791390590","042","2004-05-15","Glorieta Juan Manuel Rico 6 Puerta 5 
Córdoba, 14150","Tarragona","Energy manager","Aitor Barrio Campos","+34092688012"
"GB42DGMO2982273269937","GB","QQUM5292366887377","Castejón, Pintor and Avilés","09/23","6582428366951057","292","1903-05-02","C. Anna Company 850
Almería, 80862","Cáceres","Retail merchandiser","Susana Rocio Fernandez Paniagua","+34 340 855 333"
"GB66CQQO3833510339262","GB","FLJH5514384228148","Mayoral LLC","01/20","503804038316","6528","2001-09-16","Ronda de Yolanda Morales 464
Burgos, 48792","Jaén","Retail banker","Antonio Jara","+34789 680 364"
"GB13UNFQ1785618707226","GB","ELGP1129377336335","Oliva-Salinas","07/19","213178905850662","837","1947-11-24","Camino de Alfonso Sanjuan 7 Puerta 0 
Zamora, 76601","Pontevedra","Gaffer","Mercedes Remedios Alsina Villa","+34324351272"
"GB18BIZS9792495228088","GB","AEMJ7701444677662","Esteve Ltd","11/23","4847456099357","409","1971-06-21","Glorieta Miriam Alberto 934
Badajoz, 82696","Ourense","Best boy","Hector Palma Uriarte","+34650999192"
"GB40PAFM3904414514547","GB","OLKI6424676165647","Blázquez, Navas and Ros","07/23","213163617062277","053","1950-10-30","Glorieta de Amparo Somoza 55 Puerta 4 
Ourense, 70988","Tarragona","Engineer, agricultural","Noelia Emilia Manzanares Grau","+34103 123 573"
